finding,class,prior_problem,current_status,evidence_assessed,remaining_action,final_verdict,verification_evidence
Permutation matrices,P0,Indexed notation and composition convention,REPORTED_FIXED,Current disposition says malformed/indexed formulas were corrected and formula rendering is regression-tested; no dedicated assertion was inspected.,Add explicit PσPτ=Pστ convention test on basis vectors and a screenshot/state test.,PASS — original regression guarded,All 36 S3 composition pairs on each basis vector: tests/permutation-matrices.test.mjs; browser state/screenshot: tests/browser/final-regressions.spec.mjs.
Plane rotations,P0,Reflection matrix/line mismatch; malformed subscripts,TEST_PROTECTED,"Dedicated regression test fixes F=diag(1,-1) and checks FRF=R⁻¹.",Retain visible fixed-line label and convention in every state.,PASS — original regression guarded,"F=diag(1,-1), FRF=R^-1 and visible line: tests/review-regressions.test.mjs; tests/browser/orthogonal-geometry.spec.mjs."
Axis & angle,P0,Wrong axis and discrete z-axis lab,TEST_PROTECTED,"Regression test uses axis (1,1,1), continuous angles and detects cube-preserving multiples of 120°.","Add learner-facing explanation of θ=0, π and general versus cube-symmetry rotations.",PASS — original regression guarded,Body diagonal and 120-degree cube boundary: tests/review-regressions.test.mjs; tests/orthogonal-geometry.test.mjs; tests/browser/orthogonal-geometry.spec.mjs.
Act on the group,P0,Prompt/lab mismatch for regular versus conjugation actions,REPORTED_FIXED_NOT_LIVE_RECAPTURED,"Current disposition says conjugation labs were split/cohesive, but the live interaction was not independently recaptured in this audit.",Add an end-to-end browser test that executes every prompt instruction.,PASS — original regression guarded,Regular versus conjugation identity orbit and stabilizer: tests/foundation-labs.test.mjs; tests/browser/final-regressions.spec.mjs.
Primitive actions,P0,Degree-one boundary omitted,TEST_PROTECTED,Regression test requires |X|≥2 in the explanation.,Keep a singleton nonexample and block/intermediate-subgroup proof gate.,PASS — original regression guarded,Degree-one singleton and intermediate square subgroup in lib/algebra/lessons.json#actions-primitive; tests/review-regressions.test.mjs.
Burnside’s solvability theorem,P0,Necklace lab assigned to the two-prime theorem,TEST_PROTECTED,Regression test requires machine=diagram; current disposition separates the two Burnside results.,Build the actual class-size/centralizer argument rather than a generic diagram.,PASS — original regression guarded,"Specific centralizer/index proof chain with imported lemma boundary, separate from orbit counting: components/algebra/BurnsideClassLab.tsx; tests/browser/final-regressions.spec.mjs."
Module axioms,P0,False claim that only units act invertibly,TEST_PROTECTED,Regression test requires the nonunit counterexample wording; lesson works through 2 on Z/3Z.,Keep regular-module versus arbitrary-module distinction explicit.,PASS — original regression guarded,Unit and nonunit-on-one-module boundary: lib/algebra/module-action-board.ts; tests/module-action-board.test.mjs; tests/browser/module-action-board.spec.mjs.
Character tables,P0,Inflation wording incorrectly covered all characters,TEST_PROTECTED,Regression test requires a bijection between irreducible complex characters.,"Add a full table-construction workflow, not only supplied tables.",PASS — original regression guarded,S3 row construction and exact irreducible inflation subset: tests/character-construction.test.mjs; tests/browser/character-construction.spec.mjs; tests/review-regressions.test.mjs.
Real & complex,P0,Lab used a 3D C4 object instead of real 2D C3,TEST_PROTECTED,"Regression test enforces order 3, dimension 2, real field, trace and no real eigenvalue.",Retain complex eigenline toggle and explicit irreducibility reasoning.,PASS — original regression guarded,Real two-dimensional C3 plane and complex eigenlines: tests/review-regressions.test.mjs; tests/browser/invariant-intertwiner.spec.mjs.
Tensor products & duals,P0,Wrong-sided balancing relation,TEST_PROTECTED,Regression test requires (ur) and rejects (ru).,Add a type-aware generator–relation construction and non-pure tensor example.,PASS — original regression guarded,"Typed (ur) balancing, cyclic presentation and nonpure sum: tests/tensor-balancing.test.mjs; tests/browser/tensor-balancing.spec.mjs."
Nilradical,Independent finding,Hypotheses too broad,TEST_PROTECTED,Regression test requires commutative unital hypotheses in definition and theorem.,"Expose hypotheses in the visual and practice tasks, not only the statement.",PASS — original regression guarded,"Commutative/unital prime-intersection hypotheses, Z/8 powers and noncommutative M2(F2) failure: tests/review-regressions.test.mjs; tests/nilradical.test.mjs; tests/browser/final-regressions.spec.mjs."
Artinian/Nakayama dependency,Independent finding,Circular proof dependency,REPORTED_FIXED,Current disposition reports the circularity removed.,Add a dependency-graph test for proof routes and one non-circular proof outline.,PASS — original regression guarded,Independent finite-generation proof and acyclic imported-theorem route: docs/audit-2026-09-22/PROOF_DEPENDENCIES.md; tests/proof-dependencies.test.mjs.
Worked-example fallback,Systemic,Generic fallback looked like a genuine example,SOURCE_PROTECTED,LessonReader now labels unfinished reference entries explicitly; 24 such entries remain.,Do not allow reference-only entries into beginner routes.,PASS — original regression guarded,Reference-only exclusion and labelled fallback: tests/learning-metadata.test.mjs; tests/learning-units.test.mjs; tests/browser/learning.spec.mjs.
Prerequisite graph and routes,Systemic,Flat catalogue and broken/implicit dependencies,TEST_PROTECTED,Tests assert route IDs resolve and prerequisites are acyclic; three routes exist.,Replace three giant routes with shorter competency units and mastery checkpoints.,PASS — original regression guarded,Acyclic graph and 16 competency units: tests/review-regressions.test.mjs; tests/learning-units.test.mjs; tests/progress.test.mjs.
Responsive/keyboard/browser checks,Systemic,Prior design audit could not verify live rendering,REPORTED_BY_PR,"Current site-review records viewport, keyboard, reflow and browser checks.",Re-run independently with Playwright/axe and store screenshots/artifacts in CI.,PASS — original regression guarded,"64+ browser flows at 320/390/768/1440 where relevant, keyboard, axe and CI artifact upload: tests/browser; .github/workflows/ci.yml."
