sequence,concept,site_id,lookup_key,subject,family,prior_priority,current_disposition,current_status,mathematical_and_pedagogical_review,required_rework,acceptance_gate,recommended_visualisation,source_alignment,implementation_epic,estimated_effort,final_disposition,delivery_evidence
1,Group axioms,mh2220-axioms,"navTitle exact match: ""Group axioms""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The axioms are present, but the opening examples reach GL and SL before a learner has a dependable understanding of an operation. A multiplication table is not, by itself, an explanation of associativity.","Start with composition of triangle motions and addition of integers. Give a nonexample for each axiom, then prove uniqueness of identity and inverses. Keep matrix groups as a later connection.",Identify the exact failed axiom in a proposed operation and distinguish closure from associativity.,Operation table + motion-composition sandbox with one-click nonexamples and an associativity witness.,MH2220,E2-groups-foundations,M,guided-content and foundation laboratory delivered; full concept gate pending,Issue #32 authored teaching; Issue #33; lib/algebra/lab-contracts.json#mh2220-axioms; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
2,Inverses & order,mh2220-inverse-order,"navTitle exact match: ""Inverses & order""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Cancellation, inverses and element order are compressed into one capsule. A learner needs to see why reversing a word also reverses the order of its inverses.","Derive (ab)⁻¹=b⁻¹a⁻¹ line by line; contrast finite and infinite order and compute orders by repeated multiplication. State commutativity as a sufficient condition for familiar power rules, not an unexplained universal necessity.",Prove the inverse-of-a-product formula and find the order of a power of a cyclic generator.,"Word-reversal animation, Cayley-cycle trace, and order-of-a-power calculator with proof prompts.",MH2220,E2-groups-foundations,M,guided-content and foundation laboratory delivered; full concept gate pending,Issue #32 authored teaching; Issue #33; lib/algebra/lab-contracts.json#mh2220-inverse-order; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
3,Subgroups,mh2220-subgroups,"navTitle exact match: ""Subgroups""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The subgroup test is useful and the nonempty condition matters, but the jump from a closure test to subgroup structure is too quick.","Work the test on an actual subset, a failed subset and nℤ. Prove the classification of subgroups of ℤ, including {0}; explain why larger divisors produce smaller subgroups.",Decide membership and inclusion in a subgroup lattice without treating the picture as a geometric proof.,Cayley graph with selectable closed subsets and an automatically generated subgroup lattice.,MH2220,E2-groups-foundations,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-subgroups; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
4,Generators,mh2220-generators,"navTitle exact match: ""Generators""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The explanation discusses words, the experiment uses a finite group, and the proof establishes a gcd statement in ℤ. All are valid ideas, but the transitions are not taught.","Separate generated subgroups, lattice joins and integer generation. Supply an extended-Euclidean calculation before invoking Bézout. Contrast a list of relations with a complete presentation. Repair the split math delimiter in “Bézout.”",Explain why the union of two subgroups may fail while the subgroup generated by that union exists.,Reachability/word-builder that colours elements by shortest word length and exposes relations.,MH2220,E2-groups-foundations,M,guided lesson and V03 laboratory delivered,Issue #44; lib/algebra/guided-lessons.json; lib/algebra/cayley-words.ts; components/algebra/CayleyRelations.tsx; components/algebra/CyclicSubgroups.tsx; components/algebra/CayleyEmbedding.tsx; tests/cayley-words.test.mjs; tests/browser/cayley-words.spec.mjs. S3 presentation completeness uses a normal-form argument; finite word tables alone do not prove an arbitrary presentation.
5,Congruence,mh2220-congruence,"navTitle exact match: ""Congruence""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Residue classes and well-defined addition are introduced, but equivalence relations and the multiplication check are assumed rather than developed.","Show representatives on the integer line, prove the equivalence relation, and verify both addition and multiplication using changed representatives. Keep additive group structure distinct from ring structure.",Prove that [a][b]=[ab] does not depend on representatives.,Dynamic residue partition on the integer line and quotient-operation consistency test.,MH2220,E2-groups-foundations,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-congruence; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
6,Units & totients,mh2220-units,"navTitle exact match: ""Units & totients""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The gcd criterion is sound, with a useful warning about additive versus multiplicative order. The totient function receives a definition more than an explanation.","Compute inverses by Bézout, derive φ(pᵏ), and explain the coprime product rule through CRT when available. Compare the noncyclic unit group modulo 8 with C₄.",Produce an inverse modulo 15 and explain why a nonzero residue need not be a unit.,"Residue-ring wheel showing units, inverses, zero divisors and Euler-phi counts.",MH2220,E2-groups-foundations,M,pending,
7,Cycles & composition,mh2220-permutations,"navTitle exact match: ""Cycles & composition""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The disjoint-cycle and order statements are sound, but a novice needs an explicitly traced composition before the formulas become meaningful.","Show one-line notation, cycle notation and a routing diagram simultaneously. Calculate two overlapping permutations in both orders and then derive the lcm rule for disjoint cycles.","Convert representations, multiply with the stated convention and explain precisely why the lcm rule has its hypothesis.","Permutation action on labelled points with synchronized two-line, cycle and matrix forms.",MH2220,E2-groups-foundations,M,pending,
8,Cyclic groups,mh2220-cyclic,"navTitle exact match: ""Cyclic groups""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",Classification and subgroup formulas arrive before the learner has necessarily learned kernels and quotient groups.,First prove the finite/infinite classification by exponents and least positive return time; later revisit it as the first isomorphism theorem. Work out every subgroup of C₁₂ and orders of its elements.,"Derive ord(gᵏ)=n/gcd(n,k) and explain uniqueness of a subgroup of each divisor order.","Generator slider, subgroup lattice and gcd/order relationship explorer.",MH2220,E2-groups-foundations,M,guided lesson and V03 laboratory delivered,Issue #44; lib/algebra/guided-lessons.json; lib/algebra/cayley-words.ts; components/algebra/CayleyRelations.tsx; components/algebra/CyclicSubgroups.tsx; components/algebra/CayleyEmbedding.tsx; tests/cayley-words.test.mjs; tests/browser/cayley-words.spec.mjs. S3 presentation completeness uses a normal-form argument; finite word tables alone do not prove an arbitrary presentation.
9,Permutation matrices,mh2220-permutation-matrices,"navTitle exact match: ""Permutation matrices""",Groups & symmetry,Groups & generators,P0,CORRECTED_RETAIN_GATE,"The current disposition reports the correction, but this audit did not independently recapture the live interaction.","The construction is appropriate, but the prose proof contains missing subscripts in expressions such as Pσ and Pτ. Here notation identifies the actual maps being composed.","Correct every indexed expression. Display a permutation, its matrix columns and the images of basis vectors together; prove the composition identity on a basis.",Compute PσPτ and match it with the matrix of στ under the same convention.,Basis-vector animation with explicit composition convention and live matrix multiplication.,MH2220,E2-groups-foundations,M,pending,
10,Parity,mh2220-alternating,"navTitle exact match: ""Parity""",Groups & symmetry,Groups & generators,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The determinant route is valid but silently demands linear-algebra preparation. Parity should not be confused with the order of a permutation.,Either provide a determinant prerequisite or first give a combinatorial proof of sign being well-defined. Derive the sign of a cycle and illustrate an even permutation of even order.,Determine sign from disjoint cycles and prove that the alternating group is a kernel.,Transposition factorization game with invariant parity indicator and impossibility feedback.,MH2220,E2-groups-foundations,M,pending,
